"Time","Source","Destination","Protocol","Length","Hw_src","HW_dst"
"1624309369.721346984","192.168.1.137","192.168.1.1","DNS","82","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1624309369.721508611","192.168.1.137","192.168.1.1","DNS","82","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1624309369.722585134","192.168.1.1","192.168.1.137","DNS","162","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1624309369.723143294","192.168.1.1","192.168.1.137","DNS","114","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1624309369.726164625","192.168.1.137","49.12.80.39","TCP","74","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1624309369.845846460","49.12.80.39","192.168.1.137","TCP","74","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1624309369.845910700","192.168.1.137","49.12.80.39","TCP","66","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1624309369.846054995","192.168.1.137","49.12.80.39","TCP","181","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1624309369.966233991","49.12.80.39","192.168.1.137","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1624309369.967445827","49.12.80.39","192.168.1.137","TCP","505","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1624309369.967468789","192.168.1.137","49.12.80.39","TCP","66","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1624309419.977373508","192.168.1.137","49.12.80.39","TCP","66","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1624309420.177093639","Tp-LinkT_6d:75:c6","Broadcast","ARP","42","18:d6:c7:6d:75:c6","ff:ff:ff:ff:ff:ff"
"1624309420.177168694","Raspberr_68:35:8a","Tp-LinkT_6d:75:c6","ARP","42","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1624309420.177931610","49.12.80.39","192.168.1.137","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1624309425.037363010","Raspberr_68:35:8a","Tp-LinkT_6d:75:c6","ARP","42","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1624309425.038311461","Tp-LinkT_6d:75:c6","Raspberr_68:35:8a","ARP","42","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1624309444.881283763","49.12.80.39","192.168.1.137","TCP","54","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1624309444.892825113","192.168.1.137","192.168.1.1","DNS","82","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1624309444.892888372","192.168.1.137","192.168.1.1","DNS","82","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1624309444.896980781","192.168.1.1","192.168.1.137","DNS","162","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1624309444.897202112","192.168.1.1","192.168.1.137","DNS","114","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1624309444.899026144","192.168.1.137","49.12.80.40","TCP","74","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1624309445.020586863","49.12.80.40","192.168.1.137","TCP","74","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1624309445.020684177","192.168.1.137","49.12.80.40","TCP","66","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1624309445.020815860","192.168.1.137","49.12.80.40","TCP","181","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1624309445.147498384","49.12.80.40","192.168.1.137","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1624309445.148865625","49.12.80.40","192.168.1.137","TCP","505","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1624309445.148951328","192.168.1.137","49.12.80.40","TCP","66","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1624309458.690340538","0.0.0.0","255.255.255.255","DHCP","384","b8:27:eb:22:4e:92","ff:ff:ff:ff:ff:ff"
"1624309458.691660966","Raspberr_22:4e:92","Broadcast","ARP","42","b8:27:eb:22:4e:92","ff:ff:ff:ff:ff:ff"
"1624309459.665737256","fe80::13e5:9b6d:a1ea:23b7","ff02::fb","MDNS","207","b8:27:eb:22:4e:92","33:33:00:00:00:fb"
"1624309460.437250471","Raspberr_22:4e:92","Broadcast","ARP","42","b8:27:eb:22:4e:92","ff:ff:ff:ff:ff:ff"
"1624309460.887877384","fe80::13e5:9b6d:a1ea:23b7","ff02::fb","MDNS","107","b8:27:eb:22:4e:92","33:33:00:00:00:fb"
"1624309461.727656991","fe80::13e5:9b6d:a1ea:23b7","ff02::fb","MDNS","207","b8:27:eb:22:4e:92","33:33:00:00:00:fb"
"1624309462.233432597","Raspberr_22:4e:92","Broadcast","ARP","42","b8:27:eb:22:4e:92","ff:ff:ff:ff:ff:ff"
"1624309464.245145835","Raspberr_22:4e:92","Broadcast","ARP","42","b8:27:eb:22:4e:92","ff:ff:ff:ff:ff:ff"
"1624309464.342370926","192.168.1.104","224.0.0.251","MDNS","87","b8:27:eb:22:4e:92","01:00:5e:00:00:fb"
"1624309464.356454854","192.168.1.104","224.0.0.251","MDNS","257","b8:27:eb:22:4e:92","01:00:5e:00:00:fb"
"1624309464.606036450","192.168.1.104","224.0.0.251","MDNS","257","b8:27:eb:22:4e:92","01:00:5e:00:00:fb"
"1624309464.857128045","192.168.1.104","224.0.0.251","MDNS","257","b8:27:eb:22:4e:92","01:00:5e:00:00:fb"
"1624309464.889709715","fe80::13e5:9b6d:a1ea:23b7","ff02::fb","MDNS","107","b8:27:eb:22:4e:92","33:33:00:00:00:fb"
"1624309465.056415589","192.168.1.104","224.0.0.251","MDNS","187","b8:27:eb:22:4e:92","01:00:5e:00:00:fb"
"1624309465.058450915","192.168.1.104","224.0.0.251","MDNS","129","b8:27:eb:22:4e:92","01:00:5e:00:00:fb"
"1624309465.342306085","192.168.1.104","224.0.0.251","MDNS","87","b8:27:eb:22:4e:92","01:00:5e:00:00:fb"
"1624309466.120768802","192.168.1.104","224.0.0.251","MDNS","187","b8:27:eb:22:4e:92","01:00:5e:00:00:fb"
"1624309466.123798188","192.168.1.104","224.0.0.251","MDNS","129","b8:27:eb:22:4e:92","01:00:5e:00:00:fb"
"1624309466.242057321","Raspberr_22:4e:92","Broadcast","ARP","42","b8:27:eb:22:4e:92","ff:ff:ff:ff:ff:ff"
"1624309467.343265426","192.168.1.104","224.0.0.251","MDNS","87","b8:27:eb:22:4e:92","01:00:5e:00:00:fb"
"1624309468.184491643","192.168.1.104","224.0.0.251","MDNS","239","b8:27:eb:22:4e:92","01:00:5e:00:00:fb"
