"Time","Source","Destination","Protocol","Length","Hw_src","HW_dst"
"1624303298.418509624","192.168.1.120","35.237.95.170","TCP","74","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.447455081","35.237.95.170","192.168.1.120","TCP","74","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.447575320","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.448328342","192.168.1.120","35.237.95.170","HTTP","528","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.470344716","35.237.95.170","192.168.1.120","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.496584117","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.496628301","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.498798054","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.498861867","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.498888441","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.498906533","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.498916885","35.237.95.170","192.168.1.120","HTTP","796","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.498940384","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.604085817","192.168.1.120","35.237.95.170","HTTP","488","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.622352785","192.168.1.120","35.237.95.170","TCP","74","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.629032725","192.168.1.120","35.237.95.170","TCP","74","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.630743450","192.168.1.120","35.237.95.170","TCP","74","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.631118498","192.168.1.120","35.237.95.170","TCP","74","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.644811168","35.237.95.170","192.168.1.120","TCP","74","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.644891222","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.645153439","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.645207809","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.645218327","192.168.1.120","35.237.95.170","HTTP","488","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.645428174","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.645458692","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.646009626","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.646057866","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.646071847","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.646085402","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.647148825","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.647201250","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.647220565","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.647238805","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.647248564","35.237.95.170","192.168.1.120","HTTP","624","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.647261230","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.650528017","35.237.95.170","192.168.1.120","TCP","74","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.650596367","192.168.1.120","35.237.95.170","HTTP","480","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.650610663","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.650871232","192.168.1.120","35.237.95.170","HTTP","480","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.651928155","35.237.95.170","192.168.1.120","TCP","74","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.651996858","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.652083430","35.237.95.170","192.168.1.120","TCP","74","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.652114615","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.653379589","192.168.1.120","35.237.95.170","HTTP","498","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.667928187","35.237.95.170","192.168.1.120","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.671414043","35.237.95.170","192.168.1.120","HTTP","1134","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.671456931","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.672561613","35.237.95.170","192.168.1.120","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.675016601","35.237.95.170","192.168.1.120","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.675757234","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.675790456","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.677565068","35.237.95.170","192.168.1.120","HTTP","724","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.677635993","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.679251535","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.679309200","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.679335014","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.679351125","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.679362921","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.679380699","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.680247107","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.680310884","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.680333920","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.680352846","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.680363605","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.680376197","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.680385975","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.680398826","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.680408660","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.680421067","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.681094942","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.681143256","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.681164700","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.681180681","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.698708904","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.698873049","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.700227096","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.700369704","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.700399685","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.700416278","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.700426351","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.700449295","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.701386517","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.701464905","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.701477701","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.701510959","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.701525107","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.702137910","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.702227852","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.702257815","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.702271185","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.703640083","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.703728230","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.703935078","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.703972743","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.704462197","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.705415363","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.705512379","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.705553304","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.705570397","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.705584896","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.705600655","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.705611618","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.705627525","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.705638192","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.705662821","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.706015203","35.237.95.170","192.168.1.120","HTTP","553","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.708873960","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.732740557","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.734242008","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.734338488","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.734386338","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.734416190","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.734431819","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.734443726","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.734507188","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.735074177","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.735113213","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.735126453","35.237.95.170","192.168.1.120","HTTP","474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.735218433","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.812326778","192.168.1.120","35.237.95.170","HTTP","492","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.815519974","192.168.1.120","35.237.95.170","HTTP","455","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.817263735","192.168.1.120","35.237.95.170","HTTP","463","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.819563448","192.168.1.120","35.237.95.170","HTTP","480","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.839271998","35.237.95.170","192.168.1.120","HTTP","1164","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.839354478","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.842443268","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.843888702","35.237.95.170","192.168.1.120","HTTP","1417","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.843939979","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.843962127","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.844000700","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.844908293","35.237.95.170","192.168.1.120","HTTP","187","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.844975625","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.845002995","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.845039216","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.845050142","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.845073160","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.845735665","35.237.95.170","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.845807071","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.845836404","35.237.95.170","192.168.1.120","HTTP","839","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.845853607","192.168.1.120","35.237.95.170","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.872302282","192.168.1.120","192.168.1.1","DNS","70","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303298.873347576","192.168.1.1","192.168.1.120","DNS","86","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303298.873786382","192.168.1.120","95.168.216.7","TCP","74","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.003029591","95.168.216.7","192.168.1.120","TCP","74","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.003100164","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.003652468","192.168.1.120","95.168.216.7","TLSv1.2","583","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.134363481","95.168.216.7","192.168.1.120","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.139619006","95.168.216.7","192.168.1.120","TLSv1.2","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.139664190","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.141505671","95.168.216.7","192.168.1.120","TCP","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.141557022","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.142104308","95.168.216.7","192.168.1.120","TLSv1.2","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.142123900","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.142442171","95.168.216.7","192.168.1.120","TLSv1.2","214","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.142458041","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.147529644","192.168.1.120","95.168.216.7","TLSv1.2","192","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.277183289","95.168.216.7","192.168.1.120","TLSv1.2","308","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.277281917","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.278504633","192.168.1.120","95.168.216.7","TLSv1.2","677","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.407792953","95.168.216.7","192.168.1.120","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.409522530","95.168.216.7","192.168.1.120","TLSv1.2","328","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.409560084","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.412300789","95.168.216.7","192.168.1.120","TCP","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.412340658","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.412753132","95.168.216.7","192.168.1.120","TCP","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.412787649","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.413845906","95.168.216.7","192.168.1.120","TLSv1.2","783","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.413884146","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.414508189","95.168.216.7","192.168.1.120","TCP","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.414556558","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.414576595","95.168.216.7","192.168.1.120","TCP","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.414596761","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.415903846","95.168.216.7","192.168.1.120","TCP","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.415939679","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.415959308","95.168.216.7","192.168.1.120","TCP","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.415973363","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.415984345","95.168.216.7","192.168.1.120","TCP","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.415996696","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.416431076","95.168.216.7","192.168.1.120","TCP","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.462751205","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.540848883","95.168.216.7","192.168.1.120","TCP","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.541294800","95.168.216.7","192.168.1.120","TCP","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.541347428","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.542585311","95.168.216.7","192.168.1.120","TCP","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.542607699","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.543960635","95.168.216.7","192.168.1.120","TCP","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.543979801","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.547974610","95.168.216.7","192.168.1.120","TCP","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.547989925","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.548388028","95.168.216.7","192.168.1.120","TLSv1.2","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.548402842","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.549089903","95.168.216.7","192.168.1.120","TCP","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.549115328","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624303299.550738592","95.168.216.7","192.168.1.120","TCP","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624303299.550781424","192.168.1.120","95.168.216.7","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
