"Time","Source","Destination","Protocol","Length","Hw_src","HW_dst"
"1625503577.822478893","192.168.1.137","172.67.159.169","TCP","54","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1625503577.824900882","172.67.159.169","192.168.1.137","TCP","54","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1625503579.895381562","192.168.1.137","192.168.1.1","DNS","68","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1625503579.897202522","192.168.1.1","192.168.1.137","DNS","84","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1625503579.897693016","192.168.1.137","81.4.102.164","TCP","74","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1625503580.005894456","81.4.102.164","192.168.1.137","TCP","74","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1625503580.006010936","192.168.1.137","81.4.102.164","TCP","66","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1625503580.006992683","192.168.1.137","81.4.102.164","TLSv1.2","583","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1625503580.115921708","81.4.102.164","192.168.1.137","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1625503580.116371943","81.4.102.164","192.168.1.137","TLSv1.2","203","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1625503580.116436424","192.168.1.137","81.4.102.164","TCP","66","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1625503580.125703757","192.168.1.137","81.4.102.164","TLSv1.2","117","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1625503580.127740825","192.168.1.137","81.4.102.164","TLSv1.2","610","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1625503580.236022116","81.4.102.164","192.168.1.137","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1625503580.236470389","81.4.102.164","192.168.1.137","TLSv1.2","224","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1625503580.239858552","192.168.1.137","81.4.102.164","TLSv1.2","196","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1625503580.349854452","81.4.102.164","192.168.1.137","TLSv1.2","415","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1625503580.392511958","192.168.1.137","81.4.102.164","TCP","66","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1625503582.830359729","Tp-LinkT_6d:75:c6","Raspberr_68:35:8a","ARP","42","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1625503582.830395765","Raspberr_68:35:8a","Tp-LinkT_6d:75:c6","ARP","42","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1625503582.942491864","192.168.1.137","91.199.212.52","TCP","66","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1625503582.976878803","91.199.212.52","192.168.1.137","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1625503585.761364199","192.168.1.137","239.255.255.250","SSDP","209","dc:a6:32:68:35:8a","01:00:5e:7f:ff:fa"
"1625503586.761747311","192.168.1.137","239.255.255.250","SSDP","209","dc:a6:32:68:35:8a","01:00:5e:7f:ff:fa"
"1625503587.762252352","192.168.1.137","239.255.255.250","SSDP","209","dc:a6:32:68:35:8a","01:00:5e:7f:ff:fa"
"1625503588.062536252","192.168.1.137","104.21.88.26","TCP","54","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1625503588.069418077","104.21.88.26","192.168.1.137","TCP","54","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1625503588.763160558","192.168.1.137","239.255.255.250","SSDP","209","dc:a6:32:68:35:8a","01:00:5e:7f:ff:fa"
"1625503595.359814803","Tp-LinkT_6d:75:c6","Broadcast","ARP","42","18:d6:c7:6d:75:c6","ff:ff:ff:ff:ff:ff"
"1625503595.361947241","192.168.1.134","224.0.0.251","MDNS","181","7c:ab:60:a3:17:21","01:00:5e:00:00:fb"
"1625503595.364342767","fe80::2f:b689:fd6d:b435","ff02::fb","MDNS","201","7c:ab:60:a3:17:21","33:33:00:00:00:fb"
"1625503595.975831436","192.168.1.134","224.0.0.251","IGMPv2","46","7c:ab:60:a3:17:21","01:00:5e:00:00:fb"
"1625503596.390307258","192.168.1.134","224.0.0.251","MDNS","181","7c:ab:60:a3:17:21","01:00:5e:00:00:fb"
"1625503596.392342012","fe80::2f:b689:fd6d:b435","ff02::fb","MDNS","201","7c:ab:60:a3:17:21","33:33:00:00:00:fb"
"1625503599.457001628","192.168.1.134","224.0.0.251","MDNS","181","7c:ab:60:a3:17:21","01:00:5e:00:00:fb"
"1625503599.461629388","fe80::2f:b689:fd6d:b435","ff02::fb","MDNS","201","7c:ab:60:a3:17:21","33:33:00:00:00:fb"
"1625503600.318502876","91.199.212.52","192.168.1.137","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:68:35:8a"
"1625503600.362543091","192.168.1.137","91.199.212.52","TCP","66","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
"1625503603.422511975","192.168.1.137","104.21.235.37","TCP","54","dc:a6:32:68:35:8a","18:d6:c7:6d:75:c6"
