"Time","Source","Destination","Protocol","Length","Hw_src","HW_dst"
"1625503762.070104153","192.168.1.120","192.168.1.1","DNS","68","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503762.076056153","192.168.1.1","192.168.1.120","DNS","84","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1625503762.076487857","192.168.1.120","81.4.102.164","TCP","74","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503762.187686857","81.4.102.164","192.168.1.120","TCP","74","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1625503762.187775264","192.168.1.120","81.4.102.164","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503762.188421931","192.168.1.120","81.4.102.164","TLSv1.2","583","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503762.300329745","81.4.102.164","192.168.1.120","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1625503762.304209801","81.4.102.164","192.168.1.120","TLSv1.2","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1625503762.304261560","192.168.1.120","81.4.102.164","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503762.305124245","81.4.102.164","192.168.1.120","TLSv1.2","720","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1625503762.305157616","192.168.1.120","81.4.102.164","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503762.311957616","192.168.1.120","192.168.1.1","DNS","76","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503762.313143134","192.168.1.1","192.168.1.120","DNS","92","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1625503762.313870264","192.168.1.120","91.199.212.52","TCP","74","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503762.340674819","91.199.212.52","192.168.1.120","TCP","74","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1625503762.340767338","192.168.1.120","91.199.212.52","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503762.341191227","192.168.1.120","91.199.212.52","HTTP","350","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503762.368594153","91.199.212.52","192.168.1.120","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1625503762.369911523","91.199.212.52","192.168.1.120","TCP","1514","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1625503762.369951153","192.168.1.120","91.199.212.52","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503762.372203968","91.199.212.52","192.168.1.120","HTTP","519","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1625503762.372231745","192.168.1.120","91.199.212.52","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503762.384599634","192.168.1.120","81.4.102.164","TLSv1.2","192","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503762.497425931","81.4.102.164","192.168.1.120","TLSv1.2","324","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1625503762.497498986","192.168.1.120","81.4.102.164","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503762.498570968","192.168.1.120","81.4.102.164","TLSv1.2","610","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503762.611092653","81.4.102.164","192.168.1.120","TLSv1.2","224","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1625503762.611219634","192.168.1.120","81.4.102.164","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503762.617173930","192.168.1.120","81.4.102.164","TLSv1.2","196","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503762.730045616","81.4.102.164","192.168.1.120","TLSv1.2","415","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1625503762.730142393","192.168.1.120","81.4.102.164","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503763.388911189","192.168.1.120","142.250.217.173","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503763.388964060","192.168.1.120","142.250.64.131","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503763.390823245","142.250.217.173","192.168.1.120","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1625503763.391241208","142.250.64.131","192.168.1.120","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1625503767.396744983","Tp-LinkT_6d:75:c6","Raspberr_67:66:4b","ARP","42","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1625503767.396791854","Raspberr_67:66:4b","Tp-LinkT_6d:75:c6","ARP","42","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503773.232485239","192.168.1.120","165.227.106.11","NTP","90","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1625503773.266773035","165.227.106.11","192.168.1.120","NTP","90","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
