"Time","Source","Destination","Protocol","Length","Hw_src","HW_dst"
"1624239942.046207691","192.168.1.120","35.245.152.168","TCP","74","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239942.081616930","35.245.152.168","192.168.1.120","TCP","74","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239942.081715021","192.168.1.120","35.245.152.168","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239942.082602521","192.168.1.120","35.245.152.168","HTTP","522","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239942.114298041","35.245.152.168","192.168.1.120","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239942.990738845","35.245.152.168","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239942.990819825","192.168.1.120","35.245.152.168","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239942.991226465","35.245.152.168","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239942.991287760","192.168.1.120","35.245.152.168","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239942.991313185","35.245.152.168","192.168.1.120","HTTP","669","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239942.991344758","192.168.1.120","35.245.152.168","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.100022387","192.168.1.120","192.168.1.1","DNS","87","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.104196595","192.168.1.1","192.168.1.120","DNS","103","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239943.106397753","192.168.1.120","142.250.64.138","TCP","74","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.108937070","142.250.64.138","192.168.1.120","TCP","74","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239943.109190583","192.168.1.120","142.250.64.138","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.110361485","192.168.1.120","142.250.64.138","TLSv1.3","583","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.113638175","142.250.64.138","192.168.1.120","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239943.123664076","192.168.1.120","35.245.152.168","HTTP","483","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.126876805","142.250.64.138","192.168.1.120","TLSv1.3","1484","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239943.126936767","192.168.1.120","142.250.64.138","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.128869559","142.250.64.138","192.168.1.120","TCP","1484","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239943.128937984","192.168.1.120","142.250.64.138","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.128959446","142.250.64.138","192.168.1.120","TLSv1.3","256","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239943.128972854","192.168.1.120","142.250.64.138","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.143922429","192.168.1.120","35.245.152.168","TCP","74","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.145764057","192.168.1.120","35.245.152.168","TCP","74","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.146727518","192.168.1.120","192.168.1.1","DNS","76","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.147019012","192.168.1.120","35.245.152.168","TCP","74","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.147043234","192.168.1.120","192.168.1.1","DNS","83","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.154091771","35.245.152.168","192.168.1.120","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239943.155843216","192.168.1.120","142.250.64.138","TLSv1.3","130","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.156378520","192.168.1.120","142.250.64.138","TLSv1.3","152","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.156919045","192.168.1.120","142.250.64.138","TLSv1.3","531","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.158425532","142.250.64.138","192.168.1.120","TLSv1.3","674","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239943.158559955","192.168.1.120","142.250.64.138","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.158689656","142.250.64.138","192.168.1.120","TLSv1.3","97","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239943.158715378","192.168.1.120","142.250.64.138","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.159593860","192.168.1.120","142.250.64.138","TLSv1.3","97","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.162223860","142.250.64.138","192.168.1.120","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239943.169030884","35.245.152.168","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239943.169080105","192.168.1.120","35.245.152.168","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.170279210","35.245.152.168","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239943.170332579","192.168.1.120","35.245.152.168","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.170354541","35.245.152.168","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239943.170369726","192.168.1.120","35.245.152.168","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.170379411","35.245.152.168","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239943.170398929","192.168.1.120","35.245.152.168","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.170408633","35.245.152.168","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239943.170421077","192.168.1.120","35.245.152.168","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.170908733","35.245.152.168","192.168.1.120","HTTP","1254","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624239943.170962917","192.168.1.120","35.245.152.168","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624239943.172636642","192.168.1.120","35.245.152.168","HTTP","483","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
