"Time","Source","Destination","Protocol","Length","Hw_src","HW_dst"
"1624229181.515237610","192.168.1.120","35.245.152.168","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624229181.515359460","192.168.1.120","35.245.152.168","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624229181.515434682","192.168.1.120","35.245.152.168","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624229181.515489792","192.168.1.120","35.245.152.168","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624229181.515674660","192.168.1.120","35.245.152.168","TCP","74","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624229181.549772319","35.245.152.168","192.168.1.120","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624229181.549924039","35.245.152.168","192.168.1.120","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624229181.550794675","35.245.152.168","192.168.1.120","TCP","74","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624229181.550862674","192.168.1.120","35.245.152.168","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624229181.551066653","35.245.152.168","192.168.1.120","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624229181.551139911","35.245.152.168","192.168.1.120","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624229181.551768440","192.168.1.120","35.245.152.168","HTTP","521","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624229181.582269258","35.245.152.168","192.168.1.120","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624229181.596608604","35.245.152.168","192.168.1.120","HTTP","346","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624229181.596697103","192.168.1.120","35.245.152.168","TCP","66","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624229181.608906163","192.168.1.120","35.245.152.168","HTTP","522","dc:a6:32:67:66:4b","18:d6:c7:6d:75:c6"
"1624229181.683180992","35.245.152.168","192.168.1.120","TCP","66","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
"1624229182.545907416","35.245.152.168","192.168.1.120","TCP","1474","18:d6:c7:6d:75:c6","dc:a6:32:67:66:4b"
