"Time","Source","Destination","Protocol","Length","Hw_src","HW_dst"
"1624228428.942699120","fe80::6e5d:2e45:5f6b:f0b8","ff02::fb","MDNS","102","a4:bb:6d:ac:e1:fd","33:33:00:00:00:fb"
"1624228428.942771894","192.168.1.139","224.0.0.251","MDNS","82","a4:bb:6d:ac:e1:fd","01:00:5e:00:00:fb"
"1624228429.511949878","192.168.1.139","192.168.1.1","DNS","94","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1624228429.525427375","192.168.1.139","172.217.3.132","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1624228429.525553044","192.168.1.139","35.245.152.168","TCP","74","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1624228429.525603170","192.168.1.139","35.245.152.168","TCP","74","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1624228429.526837647","172.217.3.132","192.168.1.139","TCP","66","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1624228429.554641277","35.245.152.168","192.168.1.139","TCP","74","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1624228429.554705202","192.168.1.139","35.245.152.168","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1624228429.554893614","35.245.152.168","192.168.1.139","TCP","74","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1624228429.554915780","192.168.1.139","35.245.152.168","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1624228429.554967347","192.168.1.139","35.245.152.168","HTTP","507","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1624228429.584598817","35.245.152.168","192.168.1.139","TCP","66","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1624228429.640893629","192.168.1.1","192.168.1.139","DNS","110","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1624228429.642212591","192.168.1.139","81.171.8.143","TCP","74","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1624228429.757609652","81.171.8.143","192.168.1.139","TCP","74","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1624228429.757659767","192.168.1.139","81.171.8.143","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1624228429.758020873","192.168.1.139","81.171.8.143","TLSv1","583","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1624228429.759291742","81.171.8.143","192.168.1.139","TCP","60","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1624228429.759668469","192.168.1.139","81.171.8.143","TCP","74","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1624228429.868329141","81.171.8.143","192.168.1.139","TCP","74","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1624228429.868371297","192.168.1.139","81.171.8.143","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1624228429.868681463","192.168.1.139","81.171.8.143","TLSv1","583","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1624228429.869978092","81.171.8.143","192.168.1.139","TCP","60","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1624228430.470724663","35.245.152.168","192.168.1.139","HTTP","3485","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1624228430.470765654","192.168.1.139","35.245.152.168","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1624228430.496471065","192.168.1.139","35.245.152.168","HTTP","451","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1624228430.497734987","192.168.1.139","35.245.152.168","TCP","74","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1624228430.497880252","192.168.1.139","81.171.8.143","TCP","74","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1624228430.497975930","192.168.1.139","35.245.152.168","TCP","74","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1624228430.498041409","192.168.1.139","35.245.152.168","HTTP","451","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1624228430.525644595","35.245.152.168","192.168.1.139","TCP","66","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1624228430.526491148","35.245.152.168","192.168.1.139","TCP","74","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1624228430.526522147","192.168.1.139","35.245.152.168","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1624228430.526669391","35.245.152.168","192.168.1.139","TCP","74","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1624228430.526685430","192.168.1.139","35.245.152.168","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
