"Time","Source","Destination","Protocol","Length","Hw_src","HW_dst"
"1625513418.664026849","192.168.1.139","35.237.95.170","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.664065113","192.168.1.139","35.237.95.170","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.664081828","192.168.1.139","35.237.95.170","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.664097585","192.168.1.139","35.237.95.170","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.664113868","192.168.1.139","35.237.95.170","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.664135024","192.168.1.139","35.237.95.170","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.664171812","192.168.1.139","142.250.64.237","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.664210481","192.168.1.139","172.217.2.206","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.664238619","192.168.1.139","172.217.2.142","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.664266829","192.168.1.139","172.217.1.99","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.664309575","192.168.1.139","172.217.8.99","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.664338073","192.168.1.139","142.250.217.196","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.664372995","192.168.1.139","142.250.217.195","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.664467218","192.168.1.139","35.237.95.170","TCP","74","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.664515136","192.168.1.139","35.237.95.170","TCP","74","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.665456494","172.217.8.99","192.168.1.139","TCP","66","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.665485534","192.168.1.139","172.217.8.99","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.665510489","142.250.217.196","192.168.1.139","TCP","60","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.665558090","142.250.217.195","192.168.1.139","TCP","66","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.665564599","192.168.1.139","142.250.217.195","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.665672469","172.217.2.142","192.168.1.139","TCP","66","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.665677826","192.168.1.139","172.217.2.142","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.665728672","172.217.2.206","192.168.1.139","TCP","66","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.665728761","172.217.1.99","192.168.1.139","TCP","66","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.665738911","192.168.1.139","172.217.2.206","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.665748224","192.168.1.139","172.217.1.99","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.665915537","142.250.64.237","192.168.1.139","TCP","66","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.665920999","192.168.1.139","142.250.64.237","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.684954411","35.237.95.170","192.168.1.139","TCP","60","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.685003042","35.237.95.170","192.168.1.139","TCP","60","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.685003142","35.237.95.170","192.168.1.139","TCP","60","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.685055776","35.237.95.170","192.168.1.139","TCP","60","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.685191668","35.237.95.170","192.168.1.139","TCP","74","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.685229554","192.168.1.139","35.237.95.170","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.685249257","35.237.95.170","192.168.1.139","TCP","60","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.685249338","35.237.95.170","192.168.1.139","TCP","60","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.685381253","35.237.95.170","192.168.1.139","TCP","74","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.685391592","192.168.1.139","35.237.95.170","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.685500698","192.168.1.139","35.237.95.170","HTTP","538","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.706973355","35.237.95.170","192.168.1.139","TCP","66","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.735723969","35.237.95.170","192.168.1.139","TCP","1474","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.735741449","192.168.1.139","35.237.95.170","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.735778788","35.237.95.170","192.168.1.139","TCP","2882","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.735788292","192.168.1.139","35.237.95.170","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.735828100","35.237.95.170","192.168.1.139","HTTP","914","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.735832543","192.168.1.139","35.237.95.170","TCP","66","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.764371743","192.168.1.139","192.168.1.1","DNS","86","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.804177528","192.168.1.1","192.168.1.139","DNS","118","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.804806775","192.168.1.139","104.21.88.26","TCP","74","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.811682254","104.21.88.26","192.168.1.139","TCP","66","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.811720699","192.168.1.139","104.21.88.26","TCP","54","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.812063855","192.168.1.139","104.21.88.26","TLSv1.3","571","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.819340567","104.21.88.26","192.168.1.139","TCP","60","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.828076585","104.21.88.26","192.168.1.139","TLSv1.3","2181","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.828096548","192.168.1.139","104.21.88.26","TCP","54","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.836356121","192.168.1.139","104.21.88.26","TLSv1.3","118","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.836556616","192.168.1.139","104.21.88.26","TLSv1.3","146","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.836713397","192.168.1.139","104.21.88.26","TLSv1.3","390","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.838612394","192.168.1.139","192.168.1.1","DNS","78","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.839743543","192.168.1.1","192.168.1.139","DNS","94","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.842867102","104.21.88.26","192.168.1.139","TCP","60","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.842982437","104.21.88.26","192.168.1.139","TCP","60","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.843250374","104.21.88.26","192.168.1.139","TLSv1.3","575","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.843250508","104.21.88.26","192.168.1.139","TCP","60","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.843263061","192.168.1.139","104.21.88.26","TCP","54","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.843478694","192.168.1.139","104.21.88.26","TLSv1.3","85","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.849913081","104.21.88.26","192.168.1.139","TCP","60","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.866095600","104.21.88.26","192.168.1.139","TLSv1.3","1445","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.866095807","104.21.88.26","192.168.1.139","TLSv1.3","715","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.866115448","192.168.1.139","104.21.88.26","TCP","54","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.866130578","192.168.1.139","104.21.88.26","TCP","54","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.866144756","104.21.88.26","192.168.1.139","TLSv1.3","85","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.866150853","192.168.1.139","104.21.88.26","TCP","54","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.873361670","192.168.1.139","104.21.88.26","QUIC","1392","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.877682742","104.21.88.26","192.168.1.139","QUIC","1242","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.880127135","104.21.88.26","192.168.1.139","QUIC","1242","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.880365881","104.21.88.26","192.168.1.139","QUIC","1238","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.880419323","104.21.88.26","192.168.1.139","QUIC","818","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.880943287","192.168.1.139","104.21.88.26","QUIC","95","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.886662299","192.168.1.139","104.21.88.26","QUIC","127","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.886822065","192.168.1.139","104.21.88.26","QUIC","125","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.887100358","192.168.1.139","104.21.88.26","QUIC","370","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.888512004","104.21.88.26","192.168.1.139","QUIC","578","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.888512217","104.21.88.26","192.168.1.139","QUIC","66","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.888512279","104.21.88.26","192.168.1.139","QUIC","66","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.888512339","104.21.88.26","192.168.1.139","QUIC","91","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.888803326","192.168.1.139","104.21.88.26","QUIC","87","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.888919248","192.168.1.139","104.21.88.26","QUIC","89","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.889059835","104.21.88.26","192.168.1.139","QUIC","65","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.890344430","104.21.88.26","192.168.1.139","QUIC","70","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.907034432","104.21.88.26","192.168.1.139","QUIC","1242","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.907034642","104.21.88.26","192.168.1.139","QUIC","1242","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.907076176","104.21.88.26","192.168.1.139","QUIC","1242","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.907076284","104.21.88.26","192.168.1.139","QUIC","1242","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.907076349","104.21.88.26","192.168.1.139","QUIC","1242","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.907127999","104.21.88.26","192.168.1.139","QUIC","1242","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.907182802","104.21.88.26","192.168.1.139","QUIC","1242","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.907243482","104.21.88.26","192.168.1.139","QUIC","1242","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.907243558","104.21.88.26","192.168.1.139","QUIC","1242","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.907293330","104.21.88.26","192.168.1.139","QUIC","1214","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.907355486","192.168.1.139","104.21.88.26","QUIC","87","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.907433156","192.168.1.139","104.21.88.26","QUIC","87","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.907482712","192.168.1.139","104.21.88.26","QUIC","87","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.907532251","192.168.1.139","104.21.88.26","QUIC","87","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.907580414","192.168.1.139","104.21.88.26","QUIC","87","a4:bb:6d:ac:e1:fd","18:d6:c7:6d:75:c6"
"1625513418.908859304","104.21.88.26","192.168.1.139","QUIC","1242","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
"1625513418.908859496","104.21.88.26","192.168.1.139","QUIC","1242","18:d6:c7:6d:75:c6","a4:bb:6d:ac:e1:fd"
